,jobid,card,slurmid,model_name,batch_size,iterate,E,start_time,end_time,estimated_time,node,color,
40,1654702771,NVIDIAGeForceGTX1080,67212,resnet18,256,1947,E,6/8/2022 23:55,6/9/2022 0:14,6/9/2022 2:18,NVIDIAGeForceGTX1080_1,#C28475,TRUE
41,1654703104,NVIDIAGeForceGTX1080,67213,attention_is_all_you_need_pytorch,256,2269,E,6/9/2022 1:21,6/9/2022 1:33,6/9/2022 2:03,NVIDIAGeForceGTX1080_1,#211828,TRUE
42,1654702408,NVIDIAGeForceGTX1080,67214,resnet18,256,2294,E,6/8/2022 23:57,6/9/2022 0:19,6/9/2022 2:15,NVIDIAGeForceGTX1080_2,#C28475,TRUE
43,1654703343,NVIDIAGeForceRTX2080Ti,67215,mobilenet_v3_large,128,4340,E,6/9/2022 0:02,6/9/2022 0:12,6/9/2022 2:42,NVIDIAGeForceRTX2080Ti_0,#F92EDA,TRUE
44,1654702743,NVIDIAGeForceRTX2080Ti,67216,mobilenet_v2,128,4146,E,6/9/2022 1:17,6/9/2022 1:25,6/9/2022 2:49,NVIDIAGeForceRTX2080Ti_0,#71495D,TRUE
45,1654702347,NVIDIAGeForceRTX2080Ti,67217,dcgan,1024,511,E,6/9/2022 0:07,6/9/2022 0:25,6/9/2022 2:16,NVIDIAGeForceRTX2080Ti_1,#A51B25,TRUE
46,1654703318,NVIDIAGeForceRTX2080Ti,67219,timm_efficientnet,128,4190,E,6/9/2022 1:25,6/9/2022 1:35,6/9/2022 4:13,NVIDIAGeForceRTX2080Ti_0,#D597D0,TRUE
47,1654702649,NVIDIAGeForceRTX2080Ti,67220,dcgan,1024,561,E,6/9/2022 0:13,6/9/2022 0:33,6/9/2022 2:51,NVIDIAGeForceRTX2080Ti_0,#A51B25,TRUE
48,1654702955,NVIDIAGeForceGTX1080,67221,dcgan,1024,603,E,6/9/2022 0:14,6/9/2022 0:52,6/9/2022 3:22,NVIDIAGeForceGTX1080_1,#A51B25,TRUE
49,1654703404,NVIDIAGeForceGTX1080,67222,dcgan,1024,664,E,6/9/2022 0:24,6/9/2022 1:07,6/9/2022 5:40,NVIDIAGeForceGTX1080_0,#A51B25,TRUE
50,1654702829,NVIDIAGeForceGTX1080,67223,dcgan,1024,694,E,6/9/2022 0:20,6/9/2022 1:04,6/9/2022 3:49,NVIDIAGeForceGTX1080_2,#A51B25,TRUE
51,1654702798,NVIDIAGeForceRTX2080Ti,67224,timm_efficientnet,128,4512,E,6/9/2022 1:30,6/9/2022 1:41,6/9/2022 3:23,NVIDIAGeForceRTX2080Ti_1,#D597D0,TRUE
52,1654702892,NVIDIAGeForceRTX2080Ti,67225,mobilenet_v2,128,5964,E,6/9/2022 1:17,6/9/2022 1:28,6/9/2022 3:59,NVIDIAGeForceRTX2080Ti_1,#71495D,TRUE
53,1654703137,NVIDIATITANRTX,67228,timm_vision_transformer,128,4133,E,6/9/2022 0:22,6/9/2022 0:56,6/9/2022 4:48,NVIDIATITANRTX_1,#5CE328,TRUE
54,1654702137,NVIDIAGeForceRTX2080Ti,67230,timm_vision_transformer,128,4390,E,6/9/2022 0:28,6/9/2022 1:00,6/9/2022 2:14,NVIDIAGeForceRTX2080Ti_1,#5CE328,TRUE
55,1654703165,NVIDIATITANRTX,67231,timm_vision_transformer,128,4517,E,6/9/2022 0:56,6/9/2022 1:34,6/9/2022 5:53,NVIDIATITANRTX_1,#5CE328,TRUE
56,1654702535,NVIDIATITANRTX,67232,densenet121,64,7398,E,6/8/2022 23:35,6/9/2022 1:11,6/9/2022 1:47,NVIDIATITANRTX_0,#9FD947,TRUE
57,1654703227,NVIDIATITANRTX,67233,resnet50,128,5508,P,6/9/2022 1:15,6/9/2022 1:36,6/9/2022 8:07,NVIDIATITANRTX_0,#B5DAA7,TRUE
58,1654702712,NVIDIAGeForceRTX2080Ti,67234,densenet121,64,8205,E,6/9/2022 0:34,6/9/2022 1:14,6/9/2022 4:41,NVIDIAGeForceRTX2080Ti_0,#9FD947,TRUE
59,1654702988,NVIDIAGeForceGTX1080,67236,squeezenet1_1,256,2587,P,6/9/2022 0:17,6/9/2022 1:14,6/9/2022 7:53,NVIDIAGeForceGTX1080_3,#3B5861,TRUE
